t_s,sum_raw
7.065198,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.103395,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.155482,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.193470,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.245171,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.283064,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.334210,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.373033,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.424370,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.463311,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.515888,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.554789,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.606096,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.643738,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.694704,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.734202,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.785793,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.823092,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.874502,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.913951,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
7.965582,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.002997,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.054505,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.093388,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.145433,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.184278,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.235344,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.273760,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.325074,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.363063,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.414007,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.454165,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.505636,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.543009,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.596078,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.633345,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.684824,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.723553,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.775280,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.813116,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.865208,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.903572,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.955252,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
8.994338,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.045528,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.083041,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.134316,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.173483,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.224457,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.263357,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.315616,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.353067,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.407986,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.442953,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.495217,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.533114,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.584035,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.623101,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.674711,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.713163,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.766956,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.803855,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.856491,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.895205,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.946829,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
9.983252,"err:int() argument must be a string, a bytes-like object or a real number, not 'omnihand.omnihand_core.TactileSensorData'"
